"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"best movies this year","500+","13 de julho de 2026 às 00:50:00 UTC-3","13 de julho de 2026 às 17:00:00 UTC-3","best movies this year","./explore?q=best%20movies%20this%20year&geo=US"
"philadelphia 76ers","2 mil+","11 de julho de 2026 às 05:40:00 UTC-3","11 de julho de 2026 às 12:00:00 UTC-3","philadelphia 76ers","./explore?q=philadelphia%2076ers&geo=US"
"illinois lottery","500+","13 de julho de 2026 às 15:40:00 UTC-3","14 de julho de 2026 às 00:50:00 UTC-3","illinois lottery","./explore?q=illinois%20lottery&geo=US"
"universitario - millonarios","5 mil+","11 de julho de 2026 às 17:10:00 UTC-3","11 de julho de 2026 às 21:10:00 UTC-3","universitario - millonarios,universitario vs millonarios","./explore?q=universitario%20-%20millonarios&geo=US"
"bleood","2 mil+","11 de julho de 2026 às 17:20:00 UTC-3","12 de julho de 2026 às 06:30:00 UTC-3","bleood","./explore?q=bleood&geo=US"
"taurean prince","20 mil+","7 de julho de 2026 às 20:40:00 UTC-3","8 de julho de 2026 às 09:30:00 UTC-3","taurean prince,gary harris,caris levert,pistons,pistons trade","./explore?q=taurean%20prince&geo=US"
"premier league","5 mil+","11 de julho de 2026 às 18:40:00 UTC-3","11 de julho de 2026 às 23:40:00 UTC-3","premier league","./explore?q=premier%20league&geo=US"
"tv app","2 mil+","11 de julho de 2026 às 18:10:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","tv app","./explore?q=tv%20app&geo=US"
"que hacer este fin de semana","500+","13 de julho de 2026 às 01:30:00 UTC-3","13 de julho de 2026 às 09:40:00 UTC-3","que hacer este fin de semana","./explore?q=que%20hacer%20este%20fin%20de%20semana&geo=US"
"port of shuaiba","1 mil+","12 de julho de 2026 às 20:40:00 UTC-3","13 de julho de 2026 às 11:20:00 UTC-3","port of shuaiba","./explore?q=port%20of%20shuaiba&geo=US"
"belmont cameli","5 mil+","8 de julho de 2026 às 23:40:00 UTC-3","10 de julho de 2026 às 03:10:00 UTC-3","belmont cameli","./explore?q=belmont%20cameli&geo=US"
"trevor condon","5 mil+","11 de julho de 2026 às 15:40:00 UTC-3","11 de julho de 2026 às 19:50:00 UTC-3","trevor condon,trevor condon baseball,randy flores","./explore?q=trevor%20condon&geo=US"
"sofi stadium","10 mil+","10 de julho de 2026 às 15:50:00 UTC-3","10 de julho de 2026 às 19:10:00 UTC-3","sofi stadium,los angeles stadium","./explore?q=sofi%20stadium&geo=US"
"kansas","5 mil+","11 de julho de 2026 às 21:40:00 UTC-3","12 de julho de 2026 às 01:30:00 UTC-3","kansas,kansas city chiefs","./explore?q=kansas&geo=US"
"emerson hancock","2 mil+","12 de julho de 2026 às 15:20:00 UTC-3","12 de julho de 2026 às 18:10:00 UTC-3","emerson hancock","./explore?q=emerson%20hancock&geo=US"
"matt damon","5 mil+","12 de julho de 2026 às 09:30:00 UTC-3","12 de julho de 2026 às 11:20:00 UTC-3","matt damon,matt damon movies","./explore?q=matt%20damon&geo=US"
"mets game today","10 mil+","10 de julho de 2026 às 19:50:00 UTC-3","11 de julho de 2026 às 00:50:00 UTC-3","mets game today,mets game,red sox game today,mets score,wilyer abreu,red sox - mets,red sox game","./explore?q=mets%20game%20today&geo=US"
"aapl","1 mil+","13 de julho de 2026 às 11:00:00 UTC-3","13 de julho de 2026 às 12:40:00 UTC-3","aapl","./explore?q=aapl&geo=US"
"polymarket","5 mil+","11 de julho de 2026 às 22:50:00 UTC-3","12 de julho de 2026 às 01:30:00 UTC-3","polymarket","./explore?q=polymarket&geo=US"
"robin byrd","5 mil+","11 de julho de 2026 às 07:30:00 UTC-3","11 de julho de 2026 às 12:40:00 UTC-3","robin byrd,robyn byrd","./explore?q=robin%20byrd&geo=US"
"jesper de jong","500+","13 de julho de 2026 às 10:40:00 UTC-3","13 de julho de 2026 às 14:10:00 UTC-3","jesper de jong","./explore?q=jesper%20de%20jong&geo=US"
"olivia dean","2 mil+","11 de julho de 2026 às 02:40:00 UTC-3","12 de julho de 2026 às 05:50:00 UTC-3","olivia dean","./explore?q=olivia%20dean&geo=US"
"世界杯","5 mil+","11 de julho de 2026 às 18:30:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","世界杯","./explore?q=%E4%B8%96%E7%95%8C%E6%9D%AF&geo=US"
"keaton wagler","2 mil+","9 de julho de 2026 às 23:40:00 UTC-3","10 de julho de 2026 às 12:10:00 UTC-3","keaton wagler","./explore?q=keaton%20wagler&geo=US"
"danna paola","2 mil+","12 de julho de 2026 às 18:30:00 UTC-3","13 de julho de 2026 às 01:30:00 UTC-3","danna paola","./explore?q=danna%20paola&geo=US"
"monica bellucci","500+","13 de julho de 2026 às 08:10:00 UTC-3","13 de julho de 2026 às 11:50:00 UTC-3","monica bellucci","./explore?q=monica%20bellucci&geo=US"
"big boy train pittsburgh","2 mil+","11 de julho de 2026 às 09:20:00 UTC-3","11 de julho de 2026 às 20:20:00 UTC-3","big boy train pittsburgh","./explore?q=big%20boy%20train%20pittsburgh&geo=US"
"vikings","5 mil+","11 de julho de 2026 às 18:00:00 UTC-3","11 de julho de 2026 às 21:30:00 UTC-3","vikings,o","./explore?q=vikings&geo=US"
"buenos aires","2 mil+","11 de julho de 2026 às 22:10:00 UTC-3","12 de julho de 2026 às 02:00:00 UTC-3","buenos aires","./explore?q=buenos%20aires&geo=US"
"fabián ruiz","5 mil+","10 de julho de 2026 às 15:30:00 UTC-3","10 de julho de 2026 às 19:20:00 UTC-3","fabián ruiz","./explore?q=fabi%C3%A1n%20ruiz&geo=US"
"braves game","10 mil+","10 de julho de 2026 às 21:40:00 UTC-3","11 de julho de 2026 às 01:30:00 UTC-3","braves game,cardinals game today,cardinals game,cardinals,danny young,braves cardinals,atlanta braves,st louis cardinals atlanta braves,where to watch atlanta braves vs st. louis cardinals,jimmy crooks","./explore?q=braves%20game&geo=US"
"raphael collignon","500+","13 de julho de 2026 às 10:50:00 UTC-3","13 de julho de 2026 às 13:00:00 UTC-3","raphael collignon","./explore?q=raphael%20collignon&geo=US"
"coco gauff","20 mil+","7 de julho de 2026 às 09:50:00 UTC-3","7 de julho de 2026 às 13:10:00 UTC-3","coco gauff,jessica pegula,pegula,gauff vs pegula","./explore?q=coco%20gauff&geo=US"
"john mcenroe","2 mil+","12 de julho de 2026 às 11:10:00 UTC-3","12 de julho de 2026 às 17:20:00 UTC-3","john mcenroe","./explore?q=john%20mcenroe&geo=US"
"mbappe age","20 mil+","9 de julho de 2026 às 18:00:00 UTC-3","9 de julho de 2026 às 20:10:00 UTC-3","mbappe age,how old is mbappe,mbappe girlfriend,mbappe wife","./explore?q=mbappe%20age&geo=US"
"qinwen zheng","500+","13 de julho de 2026 às 12:30:00 UTC-3","13 de julho de 2026 às 14:10:00 UTC-3","qinwen zheng","./explore?q=qinwen%20zheng&geo=US"
"columbia","20 mil+","7 de julho de 2026 às 17:20:00 UTC-3","7 de julho de 2026 às 21:40:00 UTC-3","columbia","./explore?q=columbia&geo=US"
"bts swim hybe copyright lawsuit","5 mil+","9 de julho de 2026 às 16:50:00 UTC-3","10 de julho de 2026 às 09:10:00 UTC-3","bts swim hybe copyright lawsuit","./explore?q=bts%20swim%20hybe%20copyright%20lawsuit&geo=US"
"di maria","2 mil+","11 de julho de 2026 às 22:10:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","di maria","./explore?q=di%20maria&geo=US"
"actualités aujourd'hui","1 mil+","13 de julho de 2026 às 01:50:00 UTC-3","13 de julho de 2026 às 19:20:00 UTC-3","actualités aujourd'hui","./explore?q=actualit%C3%A9s%20aujourd%27hui&geo=US"
"thiago almada","5 mil+","12 de julho de 2026 às 00:00:00 UTC-3","12 de julho de 2026 às 01:30:00 UTC-3","thiago almada","./explore?q=thiago%20almada&geo=US"
"lionel messi wife","5 mil+","11 de julho de 2026 às 21:50:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","lionel messi wife,messi wife,is messi married","./explore?q=lionel%20messi%20wife&geo=US"
"lluvia","2 mil+","11 de julho de 2026 às 07:50:00 UTC-3","11 de julho de 2026 às 18:20:00 UTC-3","lluvia","./explore?q=lluvia&geo=US"
"hannah waddingham","5 mil+","10 de julho de 2026 às 01:00:00 UTC-3","10 de julho de 2026 às 15:50:00 UTC-3","hannah waddingham","./explore?q=hannah%20waddingham&geo=US"
"ahmadinejad","1 mil+","13 de julho de 2026 às 09:50:00 UTC-3","13 de julho de 2026 às 12:20:00 UTC-3","ahmadinejad,mahmoud ahmadinejad,mahmoud ahmadinejad and israel","./explore?q=ahmadinejad&geo=US"
"justin lebron","2 mil+","11 de julho de 2026 às 15:40:00 UTC-3","11 de julho de 2026 às 21:10:00 UTC-3","justin lebron","./explore?q=justin%20lebron&geo=US"
"pedri","5 mil+","10 de julho de 2026 às 15:20:00 UTC-3","10 de julho de 2026 às 19:00:00 UTC-3","pedri,gavi","./explore?q=pedri&geo=US"
"thierry henry","5 mil+","11 de julho de 2026 às 19:00:00 UTC-3","11 de julho de 2026 às 22:10:00 UTC-3","thierry henry","./explore?q=thierry%20henry&geo=US"
"dram stock","1 mil+","13 de julho de 2026 às 11:20:00 UTC-3","13 de julho de 2026 às 12:30:00 UTC-3","dram stock","./explore?q=dram%20stock&geo=US"
"luis suarez","10 mil+","11 de julho de 2026 às 19:50:00 UTC-3","11 de julho de 2026 às 21:00:00 UTC-3","luis suarez,suarez,luis suárez","./explore?q=luis%20suarez&geo=US"
"rklb stock","2 mil+","13 de julho de 2026 às 11:20:00 UTC-3","13 de julho de 2026 às 12:40:00 UTC-3","rklb stock,rocket lab","./explore?q=rklb%20stock&geo=US"
"fox news","50 mil+","8 de julho de 2026 às 10:40:00 UTC-3","8 de julho de 2026 às 17:10:00 UTC-3","fox news","./explore?q=fox%20news&geo=US"
"notizie del mondo","500+","13 de julho de 2026 às 00:30:00 UTC-3","13 de julho de 2026 às 09:30:00 UTC-3","notizie del mondo","./explore?q=notizie%20del%20mondo&geo=US"
"noticias del mundo","500+","13 de julho de 2026 às 01:00:00 UTC-3","13 de julho de 2026 às 13:20:00 UTC-3","noticias del mundo","./explore?q=noticias%20del%20mundo&geo=US"
"mark aaron gatz sentencing","10 mil+","7 de julho de 2026 às 07:50:00 UTC-3","7 de julho de 2026 às 19:40:00 UTC-3","mark aaron gatz sentencing","./explore?q=mark%20aaron%20gatz%20sentencing&geo=US"
"prince of norway","5 mil+","11 de julho de 2026 às 18:10:00 UTC-3","11 de julho de 2026 às 21:40:00 UTC-3","prince of norway,crown prince of norway,norwegian royal family,norway royal family,crown prince haakon,prince haakon,norway prince","./explore?q=prince%20of%20norway&geo=US"
"kylie jenner pink hair","10 mil+","8 de julho de 2026 às 18:50:00 UTC-3","9 de julho de 2026 às 09:40:00 UTC-3","kylie jenner pink hair,king kylie collection dunkin,dunkin king kylie","./explore?q=kylie%20jenner%20pink%20hair&geo=US"
"miami stadium","5 mil+","11 de julho de 2026 às 17:50:00 UTC-3","11 de julho de 2026 às 21:10:00 UTC-3","miami stadium,miami stadium world cup","./explore?q=miami%20stadium&geo=US"
"alex pereira","2 mil+","11 de julho de 2026 às 22:00:00 UTC-3","12 de julho de 2026 às 02:00:00 UTC-3","alex pereira,mma fighting","./explore?q=alex%20pereira&geo=US"
"summer league schedule","5 mil+","9 de julho de 2026 às 16:20:00 UTC-3","10 de julho de 2026 às 02:10:00 UTC-3","summer league schedule,nba summer league scores,robbie avila","./explore?q=summer%20league%20schedule&geo=US"
"georgia lottery","2 mil+","12 de julho de 2026 às 07:40:00 UTC-3","12 de julho de 2026 às 15:00:00 UTC-3","georgia lottery,ga lottery","./explore?q=georgia%20lottery&geo=US"
"kevin mcgonigle","5 mil+","10 de julho de 2026 às 20:00:00 UTC-3","11 de julho de 2026 às 20:10:00 UTC-3","kevin mcgonigle","./explore?q=kevin%20mcgonigle&geo=US"
"palm beach airport","10 mil+","9 de julho de 2026 às 15:40:00 UTC-3","10 de julho de 2026 às 11:50:00 UTC-3","palm beach airport,pbi airport,trump airport,donald j trump international airport,palm beach international airport,djt airport","./explore?q=palm%20beach%20airport&geo=US"
"taylor swift new album","500+","13 de julho de 2026 às 02:00:00 UTC-3","13 de julho de 2026 às 09:50:00 UTC-3","taylor swift new album","./explore?q=taylor%20swift%20new%20album&geo=US"
"world cup 2022","2 mil+","11 de julho de 2026 às 20:50:00 UTC-3","12 de julho de 2026 às 02:10:00 UTC-3","world cup 2022,most goals scored in a world cup","./explore?q=world%20cup%202022&geo=US"
"megan moroney perfume","10 mil+","9 de julho de 2026 às 11:50:00 UTC-3","10 de julho de 2026 às 01:30:00 UTC-3","megan moroney perfume,fragrance by megan moroney","./explore?q=megan%20moroney%20perfume&geo=US"
"today","10 mil+","8 de julho de 2026 às 06:00:00 UTC-3","8 de julho de 2026 às 19:10:00 UTC-3","today,savannah guthrie","./explore?q=today&geo=US"
"norvège – angleterre","2 mil+","11 de julho de 2026 às 17:20:00 UTC-3","11 de julho de 2026 às 21:40:00 UTC-3","norvège – angleterre,coupe du monde 2026","./explore?q=norv%C3%A8ge%20%E2%80%93%20angleterre&geo=US"
"riley gaines","2 mil+","12 de julho de 2026 às 18:50:00 UTC-3","12 de julho de 2026 às 21:40:00 UTC-3","riley gaines","./explore?q=riley%20gaines&geo=US"
"turtle island beaver safety","2 mil+","10 de julho de 2026 às 08:10:00 UTC-3","11 de julho de 2026 às 09:10:00 UTC-3","turtle island beaver safety","./explore?q=turtle%20island%20beaver%20safety&geo=US"
"shakur stevenson","2 mil+","9 de julho de 2026 às 20:30:00 UTC-3","10 de julho de 2026 às 14:20:00 UTC-3","shakur stevenson","./explore?q=shakur%20stevenson&geo=US"
"ida wobker","5 mil+","7 de julho de 2026 às 23:50:00 UTC-3","8 de julho de 2026 às 14:40:00 UTC-3","ida wobker,ida wobker meltdown","./explore?q=ida%20wobker&geo=US"
"nachrichten heute","500+","13 de julho de 2026 às 00:30:00 UTC-3","13 de julho de 2026 às 09:10:00 UTC-3","nachrichten heute","./explore?q=nachrichten%20heute&geo=US"
"norway roster","2 mil+","11 de julho de 2026 às 18:20:00 UTC-3","11 de julho de 2026 às 21:40:00 UTC-3","norway roster,norway soccer roster","./explore?q=norway%20roster&geo=US"
"miro muheim","5 mil+","11 de julho de 2026 às 23:40:00 UTC-3","12 de julho de 2026 às 01:50:00 UTC-3","miro muheim,muheim","./explore?q=miro%20muheim&geo=US"
"new york","2 mil+","12 de julho de 2026 às 01:20:00 UTC-3","12 de julho de 2026 às 09:40:00 UTC-3","new york,manhattanhenge","./explore?q=new%20york&geo=US"
"fiji","5 mil+","9 de julho de 2026 às 21:50:00 UTC-3","10 de julho de 2026 às 04:00:00 UTC-3","fiji,new zealand","./explore?q=fiji&geo=US"
"jenna bush hager family vacation","5 mil+","8 de julho de 2026 às 17:50:00 UTC-3","9 de julho de 2026 às 09:40:00 UTC-3","jenna bush hager family vacation","./explore?q=jenna%20bush%20hager%20family%20vacation&geo=US"
"su-57 omsk drone strike","5 mil+","9 de julho de 2026 às 11:00:00 UTC-3","9 de julho de 2026 às 22:10:00 UTC-3","su-57 omsk drone strike","./explore?q=su-57%20omsk%20drone%20strike&geo=US"
"dylan cease","10 mil+","8 de julho de 2026 às 17:50:00 UTC-3","9 de julho de 2026 às 00:10:00 UTC-3","dylan cease,toronto blue jays,giants,dylan cease no hitter,blue jays - giants","./explore?q=dylan%20cease&geo=US"
"payton tolle","2 mil+","12 de julho de 2026 às 15:20:00 UTC-3","12 de julho de 2026 às 18:30:00 UTC-3","payton tolle","./explore?q=payton%20tolle&geo=US"
"lockhill post office lobby damage","2 mil+","10 de julho de 2026 às 06:50:00 UTC-3","10 de julho de 2026 às 20:10:00 UTC-3","lockhill post office lobby damage","./explore?q=lockhill%20post%20office%20lobby%20damage&geo=US"
"sony ps plus july 2026","5 mil+","7 de julho de 2026 às 07:50:00 UTC-3","7 de julho de 2026 às 20:30:00 UTC-3","sony ps plus july 2026","./explore?q=sony%20ps%20plus%20july%202026&geo=US"
"brewers","10 mil+","9 de julho de 2026 às 22:00:00 UTC-3","10 de julho de 2026 às 00:40:00 UTC-3","brewers,milwaukee brewers","./explore?q=brewers&geo=US"
"granit xhaka","20 mil+","7 de julho de 2026 às 16:50:00 UTC-3","7 de julho de 2026 às 21:00:00 UTC-3","granit xhaka,xhaka,xhaka switzerland","./explore?q=granit%20xhaka&geo=US"
"sevilla - juventud torremolinos","2 mil+","11 de julho de 2026 às 15:30:00 UTC-3","11 de julho de 2026 às 19:00:00 UTC-3","sevilla - juventud torremolinos","./explore?q=sevilla%20-%20juventud%20torremolinos&geo=US"
"youtube tv","10 mil+","11 de julho de 2026 às 18:10:00 UTC-3","11 de julho de 2026 às 19:10:00 UTC-3","youtube tv,youtubetv","./explore?q=youtube%20tv&geo=US"
"norway jersey","5 mil+","11 de julho de 2026 às 18:10:00 UTC-3","11 de julho de 2026 às 20:30:00 UTC-3","norway jersey,norway jersey 2026,norway soccer jersey","./explore?q=norway%20jersey&geo=US"
"isco championship","5 mil+","11 de julho de 2026 às 17:10:00 UTC-3","11 de julho de 2026 às 20:10:00 UTC-3","isco championship,lucas glover","./explore?q=isco%20championship&geo=US"
"lionel scaloni","2 mil+","11 de julho de 2026 às 22:00:00 UTC-3","12 de julho de 2026 às 03:20:00 UTC-3","lionel scaloni","./explore?q=lionel%20scaloni&geo=US"
"shipping","5 mil+","11 de julho de 2026 às 22:40:00 UTC-3","12 de julho de 2026 às 00:30:00 UTC-3","shipping","./explore?q=shipping&geo=US"
"obsidian entertainment misinformation developer response","2 mil+","11 de julho de 2026 às 16:00:00 UTC-3","12 de julho de 2026 às 08:20:00 UTC-3","obsidian entertainment misinformation developer response","./explore?q=obsidian%20entertainment%20misinformation%20developer%20response&geo=US"
"where is kansas city","2 mil+","11 de julho de 2026 às 21:40:00 UTC-3","12 de julho de 2026 às 01:30:00 UTC-3","where is kansas city,kansas city missouri","./explore?q=where%20is%20kansas%20city&geo=US"
"robert pattinson","1 mil+","13 de julho de 2026 às 10:40:00 UTC-3","13 de julho de 2026 às 12:30:00 UTC-3","robert pattinson","./explore?q=robert%20pattinson&geo=US"
"patrick mahomes","5 mil+","11 de julho de 2026 às 22:40:00 UTC-3","12 de julho de 2026 às 01:50:00 UTC-3","patrick mahomes,mahomes","./explore?q=patrick%20mahomes&geo=US"
"how long is half time world cup","5 mil+","11 de julho de 2026 às 18:50:00 UTC-3","11 de julho de 2026 às 23:50:00 UTC-3","how long is half time world cup,world cup halftime show,how long is halftime in the world cup,how long is world cup halftime","./explore?q=how%20long%20is%20half%20time%20world%20cup&geo=US"
"rangers","10 mil+","9 de julho de 2026 às 21:40:00 UTC-3","10 de julho de 2026 às 01:50:00 UTC-3","rangers,astros - rangers,texas rangers,rangers game","./explore?q=rangers&geo=US"
"liverpool light aircraft flight path","1 mil+","13 de julho de 2026 às 15:40:00 UTC-3","13 de julho de 2026 às 17:40:00 UTC-3","liverpool light aircraft flight path","./explore?q=liverpool%20light%20aircraft%20flight%20path&geo=US"
"morris katz","500+","13 de julho de 2026 às 17:30:00 UTC-3","13 de julho de 2026 às 18:30:00 UTC-3","morris katz","./explore?q=morris%20katz&geo=US"
"letterman","5 mil+","7 de julho de 2026 às 01:50:00 UTC-3","8 de julho de 2026 às 00:40:00 UTC-3","letterman","./explore?q=letterman&geo=US"
"steam frame","2 mil+","10 de julho de 2026 às 18:50:00 UTC-3","11 de julho de 2026 às 09:40:00 UTC-3","steam frame,valve steam frame","./explore?q=steam%20frame&geo=US"
"rays","2 mil+","12 de julho de 2026 às 15:50:00 UTC-3","12 de julho de 2026 às 18:40:00 UTC-3","rays,mariners - rays","./explore?q=rays&geo=US"
"michael chandler","2 mil+","11 de julho de 2026 às 21:10:00 UTC-3","12 de julho de 2026 às 02:30:00 UTC-3","michael chandler","./explore?q=michael%20chandler&geo=US"
"dharmesh patel","5 mil+","7 de julho de 2026 às 23:10:00 UTC-3","8 de julho de 2026 às 13:40:00 UTC-3","dharmesh patel","./explore?q=dharmesh%20patel&geo=US"
"fubo","10 mil+","11 de julho de 2026 às 18:00:00 UTC-3","11 de julho de 2026 às 19:30:00 UTC-3","fubo,fubotv,fubo tv","./explore?q=fubo&geo=US"
"victor wembanyama","10 mil+","7 de julho de 2026 às 13:10:00 UTC-3","7 de julho de 2026 às 21:00:00 UTC-3","victor wembanyama","./explore?q=victor%20wembanyama&geo=US"
"telemundo live","5 mil+","11 de julho de 2026 às 18:20:00 UTC-3","11 de julho de 2026 às 21:00:00 UTC-3","telemundo live,telemundo","./explore?q=telemundo%20live&geo=US"
"breaking news","2 mil+","12 de julho de 2026 às 04:10:00 UTC-3","12 de julho de 2026 às 10:40:00 UTC-3","breaking news","./explore?q=breaking%20news&geo=US"
"derek curiel","2 mil+","11 de julho de 2026 às 15:00:00 UTC-3","11 de julho de 2026 às 18:40:00 UTC-3","derek curiel,pirates schedule","./explore?q=derek%20curiel&geo=US"
"lilli tagger","500+","13 de julho de 2026 às 12:20:00 UTC-3","13 de julho de 2026 às 13:40:00 UTC-3","lilli tagger,sara bejlek","./explore?q=lilli%20tagger&geo=US"
"unai simón","5 mil+","10 de julho de 2026 às 16:00:00 UTC-3","10 de julho de 2026 às 19:00:00 UTC-3","unai simón,unai simon","./explore?q=unai%20sim%C3%B3n&geo=US"
"harriet tubman on $20 bill","5 mil+","8 de julho de 2026 às 00:30:00 UTC-3","8 de julho de 2026 às 15:20:00 UTC-3","harriet tubman on $20 bill,harriet tubman","./explore?q=harriet%20tubman%20on%20%2420%20bill&geo=US"
"china tornadoes","5 mil+","8 de julho de 2026 às 14:10:00 UTC-3","9 de julho de 2026 às 00:50:00 UTC-3","china tornadoes","./explore?q=china%20tornadoes&geo=US"
"jenise fernandez","5 mil+","8 de julho de 2026 às 19:50:00 UTC-3","9 de julho de 2026 às 14:40:00 UTC-3","jenise fernandez","./explore?q=jenise%20fernandez&geo=US"
"what is a monsoon","1 mil+","13 de julho de 2026 às 01:40:00 UTC-3","13 de julho de 2026 às 09:20:00 UTC-3","what is a monsoon,monsoon,south west states thunderstorms","./explore?q=what%20is%20a%20monsoon&geo=US"
"kathy hochul","500+","13 de julho de 2026 às 08:30:00 UTC-3","13 de julho de 2026 às 11:00:00 UTC-3","kathy hochul","./explore?q=kathy%20hochul&geo=US"
"sam elliott","500+","13 de julho de 2026 às 08:20:00 UTC-3","13 de julho de 2026 às 12:10:00 UTC-3","sam elliott","./explore?q=sam%20elliott&geo=US"
"spacex rocket launch","10 mil+","9 de julho de 2026 às 09:10:00 UTC-3","10 de julho de 2026 às 02:40:00 UTC-3","spacex rocket launch,spacex launch today,space x launch,vandenberg launch today,vandenberg launch schedule,falcon 9 starlink vandenberg","./explore?q=spacex%20rocket%20launch&geo=US"
"anthony seigler","2 mil+","10 de julho de 2026 às 22:50:00 UTC-3","11 de julho de 2026 às 10:20:00 UTC-3","anthony seigler","./explore?q=anthony%20seigler&geo=US"
"skylar diggins","5 mil+","12 de julho de 2026 às 20:40:00 UTC-3","12 de julho de 2026 às 22:20:00 UTC-3","skylar diggins,chicago sky","./explore?q=skylar%20diggins&geo=US"
"federal worker retirement tax planning","5 mil+","9 de julho de 2026 às 07:00:00 UTC-3","9 de julho de 2026 às 18:10:00 UTC-3","federal worker retirement tax planning","./explore?q=federal%20worker%20retirement%20tax%20planning&geo=US"
"nico williams","10 mil+","10 de julho de 2026 às 16:40:00 UTC-3","10 de julho de 2026 às 19:00:00 UTC-3","nico williams","./explore?q=nico%20williams&geo=US"
"bet365","2 mil+","11 de julho de 2026 às 21:30:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","bet365,bet 365","./explore?q=bet365&geo=US"
"swiss soccer coach","2 mil+","11 de julho de 2026 às 22:20:00 UTC-3","12 de julho de 2026 às 01:40:00 UTC-3","swiss soccer coach","./explore?q=swiss%20soccer%20coach&geo=US"
"honda 325k vehicle recall","5 mil+","8 de julho de 2026 às 12:40:00 UTC-3","8 de julho de 2026 às 20:50:00 UTC-3","honda 325k vehicle recall","./explore?q=honda%20325k%20vehicle%20recall&geo=US"
"dani olmo","5 mil+","10 de julho de 2026 às 16:10:00 UTC-3","10 de julho de 2026 às 18:50:00 UTC-3","dani olmo","./explore?q=dani%20olmo&geo=US"
"jude bellingham brother","2 mil+","11 de julho de 2026 às 18:20:00 UTC-3","11 de julho de 2026 às 22:00:00 UTC-3","jude bellingham brother","./explore?q=jude%20bellingham%20brother&geo=US"
"dustin hoffman","2 mil+","12 de julho de 2026 às 13:40:00 UTC-3","12 de julho de 2026 às 17:20:00 UTC-3","dustin hoffman","./explore?q=dustin%20hoffman&geo=US"
"linda nosková","10 mil+","8 de julho de 2026 às 08:40:00 UTC-3","8 de julho de 2026 às 15:10:00 UTC-3","linda nosková,kostyuk,jasmine paolini,noskova,linda noskova,paolini","./explore?q=linda%20noskov%C3%A1&geo=US"
"hunter biden","2 mil+","11 de julho de 2026 às 14:50:00 UTC-3","11 de julho de 2026 às 19:10:00 UTC-3","hunter biden","./explore?q=hunter%20biden&geo=US"
"marcell ozuna","1 mil+","12 de julho de 2026 às 14:10:00 UTC-3","12 de julho de 2026 às 17:30:00 UTC-3","marcell ozuna","./explore?q=marcell%20ozuna&geo=US"
"victor marx","5 mil+","9 de julho de 2026 às 20:10:00 UTC-3","10 de julho de 2026 às 09:50:00 UTC-3","victor marx,victor marx gop nomination colorado","./explore?q=victor%20marx&geo=US"
"donald trump jr.","500+","13 de julho de 2026 às 16:10:00 UTC-3","13 de julho de 2026 às 17:20:00 UTC-3","donald trump jr.","./explore?q=donald%20trump%20jr.&geo=US"
"jordan lee tennis","2 mil+","12 de julho de 2026 às 11:10:00 UTC-3","12 de julho de 2026 às 14:50:00 UTC-3","jordan lee tennis,cruz hewitt,lleyton hewitt,jordan lee","./explore?q=jordan%20lee%20tennis&geo=US"
"luke pettitte","2 mil+","12 de julho de 2026 às 15:00:00 UTC-3","12 de julho de 2026 às 18:50:00 UTC-3","luke pettitte,andy pettitte","./explore?q=luke%20pettitte&geo=US"
"unh stock","500+","13 de julho de 2026 às 10:50:00 UTC-3","13 de julho de 2026 às 12:30:00 UTC-3","unh stock","./explore?q=unh%20stock&geo=US"
"eduardo rivera","2 mil+","11 de julho de 2026 às 17:10:00 UTC-3","11 de julho de 2026 às 21:20:00 UTC-3","eduardo rivera","./explore?q=eduardo%20rivera&geo=US"
"new jersey fireboat whale collision","5 mil+","7 de julho de 2026 às 01:50:00 UTC-3","7 de julho de 2026 às 14:20:00 UTC-3","new jersey fireboat whale collision","./explore?q=new%20jersey%20fireboat%20whale%20collision&geo=US"
"ronda rousey","2 mil+","11 de julho de 2026 às 22:40:00 UTC-3","12 de julho de 2026 às 02:40:00 UTC-3","ronda rousey,gina carano","./explore?q=ronda%20rousey&geo=US"
"yassine bounou","20 mil+","9 de julho de 2026 às 17:20:00 UTC-3","9 de julho de 2026 às 19:40:00 UTC-3","yassine bounou,bono,morocco goalkeeper,bono goalkeeper,morocco goalie,yassine bono,bono goalie","./explore?q=yassine%20bounou&geo=US"
"michael lionsgate box office","2 mil+","12 de julho de 2026 às 14:40:00 UTC-3","12 de julho de 2026 às 20:30:00 UTC-3","michael lionsgate box office,michael box office","./explore?q=michael%20lionsgate%20box%20office&geo=US"
"harry kane wife","2 mil+","11 de julho de 2026 às 18:50:00 UTC-3","11 de julho de 2026 às 21:50:00 UTC-3","harry kane wife,kane age","./explore?q=harry%20kane%20wife&geo=US"
"pirates score","1 mil+","12 de julho de 2026 às 14:20:00 UTC-3","12 de julho de 2026 às 17:20:00 UTC-3","pirates score","./explore?q=pirates%20score&geo=US"
